Date,Sleep_Started,Struggle_Time,Interventions,Actual_Sleep_Time,Wake_Up_Time,Sleep_Duration,Sleep_Location,Total_Sleep_Mins,Total_Struggle_Mins
4/29/2017,10:48:00 PM,0:07:00,,10:55:00 PM,5:07:00 AM,6:12:00,Crib,372.00,7.00
4/30/2017,5:15:00 AM,0:00:00,1,5:15:00 AM,7:54:00 AM,2:39:00,Bed,159.00,0.00
4/30/2017,8:50:00 AM,0:28:00,2,9:18:00 AM,10:56:00 AM,1:38:00,Bed,98.00,28.00
4/30/2017,2:45:00 PM,0:00:00,2,2:45:00 PM,3:17:00 PM,0:32:00,Crib,32.00,0.00
4/30/2017,10:04:00 PM,0:10:00,,10:14:00 PM,1:53:00 AM,3:39:00,Crib,219.00,10.00
5/1/2017,1:53:00 AM,1:09:00,2,3:02:00 AM,6:15:00 AM,3:13:00,Crib,193.00,69.00
5/1/2017,7:25:00 AM,0:00:00,,7:25:00 AM,8:05:00 AM,0:40:00,Car,40.00,0.00
5/1/2017,9:43:00 AM,0:00:00,,9:43:00 AM,11:15:00 AM,1:32:00,Car,92.00,0.00
5/1/2017,1:02:00 PM,0:00:00,,1:02:00 PM,1:34:00 PM,0:32:00,Car,32.00,0.00
5/1/2017,4:12:00 PM,0:00:00,,4:12:00 PM,5:10:00 PM,0:58:00,Crib,58.00,0.00
5/1/2017,5:19:00 PM,0:00:00,,5:19:00 PM,7:15:00 PM,1:56:00,Car,116.00,0.00
5/1/2017,11:02:00 PM,0:13:00,,11:15:00 PM,2:30:00 AM,3:15:00,Crib,195.00,13.00
5/2/2017,2:30:00 AM,1:14:00,,3:44:00 AM,6:45:00 AM,3:01:00,Bed,181.00,74.00
5/2/2017,7:00:00 AM,0:15:00,,7:15:00 AM,9:02:00 AM,1:47:00,Bed,107.00,15.00
5/2/2017,12:26:00 PM,0:00:00,,12:26:00 PM,1:23:00 PM,0:57:00,Car,57.00,0.00
5/2/2017,3:50:00 PM,0:10:00,,4:00:00 PM,5:48:00 PM,1:48:00,Crib,108.00,10.00
5/2/2017,10:43:00 PM,0:07:00,,10:50:00 PM,7:55:00 AM,9:05:00,Crib,545.00,7.00
5/3/2017,9:49:00 AM,0:07:00,,9:56:00 AM,12:30:00 PM,2:34:00,Crib,154.00,7.00
5/3/2017,3:36:00 PM,0:03:00,,3:39:00 PM,4:30:00 PM,0:51:00,Crib,51.00,3.00
5/3/2017,7:15:00 PM,0:00:00,,7:15:00 PM,7:47:00 PM,0:32:00,Car,32.00,0.00
5/3/2017,10:04:00 PM,0:28:00,,10:32:00 PM,1:53:00 AM,3:21:00,Crib,201.00,28.00
5/4/2017,2:00:00 AM,1:25:00,,3:25:00 AM,5:25:00 AM,2:00:00,Crib,120.00,85.00
5/4/2017,5:25:00 AM,0:05:00,,5:30:00 AM,7:58:00 AM,2:28:00,Bed,148.00,5.00
5/4/2017,10:14:00 AM,0:00:00,,10:14:00 AM,11:19:00 AM,1:05:00,Car,65.00,0.00
5/4/2017,3:26:00 PM,0:06:00,,3:32:00 PM,4:22:00 PM,0:50:00,Crib,50.00,6.00
5/4/2017,4:32:00 PM,0:00:00,1,4:32:00 PM,5:35:00 PM,1:03:00,Crib,63.00,0.00
5/4/2017,7:00:00 PM,0:00:00,,7:00:00 PM,8:32:00 PM,1:32:00,Car,92.00,0.00
5/4/2017,10:00:00 PM,0:45:00,2,10:45:00 PM,3:19:00 AM,4:34:00,Crib,274.00,45.00
5/4/2017,3:19:00 AM,0:41:00,,4:00:00 AM,7:12:00 AM,3:12:00,Crib,192.00,41.00
5/5/2107,8:24:00 AM,0:00:00,,8:24:00 AM,10:20:00 AM,1:56:00,Car,116.00,0.00
5/5/2017,1:29:00 PM,0:00:00,,1:29:00 PM,2:10:00 PM,0:41:00,Car,41.00,0.00
5/5/2017,3:59:00 PM,0:00:00,,3:59:00 PM,5:15:00 PM,1:16:00,Car,76.00,0.00
